Method,Top_K,RRF_K,Model,Recall,NDCG,MRR,Time_Taken_Sec,Time_Dense,Time_Sparse,Time_RRF,Time_Colbert,Time_CrossEncoder
default,30,80,cross_encoder,0.6476,0.5626,0.537,1530.46,9.32,111.95,0.26,678.18,560.42
default,30,100,dense,0.5856,0.4189,0.3696,1530.46,9.32,111.95,0.26,678.18,560.42
default,30,100,sparse,0.5786,0.414,0.3658,1530.46,9.32,111.95,0.26,678.18,560.42
default,30,100,rrf,0.6316,0.4509,0.3976,1530.46,9.32,111.95,0.26,678.18,560.42
default,30,100,colbert,0.6406,0.503,0.4615,1530.46,9.32,111.95,0.26,678.18,560.42
default,30,100,cross_encoder,0.6476,0.5626,0.537,1530.46,9.32,111.95,0.26,678.18,560.42
default,30,150,dense,0.5856,0.4189,0.3696,1530.46,9.32,111.95,0.26,678.18,560.42
default,30,150,sparse,0.5786,0.414,0.3658,1530.46,9.32,111.95,0.26,678.18,560.42
default,30,150,rrf,0.6316,0.4509,0.3976,1530.46,9.32,111.95,0.26,678.18,560.42
default,30,150,colbert,0.6406,0.503,0.4615,1530.46,9.32,111.95,0.26,678.18,560.42
default,30,150,cross_encoder,0.6476,0.5626,0.537,1530.46,9.32,111.95,0.26,678.18,560.42
default,30,300,dense,0.5856,0.4189,0.3696,1530.46,9.32,111.95,0.26,678.18,560.42
default,30,300,sparse,0.5786,0.414,0.3658,1530.46,9.32,111.95,0.26,678.18,560.42
default,30,300,rrf,0.6316,0.4513,0.3981,1530.46,9.32,111.95,0.26,678.18,560.42
default,30,300,colbert,0.6406,0.503,0.4615,1530.46,9.32,111.95,0.26,678.18,560.42
default,30,300,cross_encoder,0.6476,0.5626,0.537,1530.46,9.32,111.95,0.26,678.18,560.42
default,50,10,dense,0.6096,0.4235,0.3702,1530.46,9.32,111.95,0.26,678.18,560.42
default,50,10,sparse,0.6086,0.4197,0.3666,1530.46,9.32,111.95,0.26,678.18,560.42
default,50,10,rrf,0.6507,0.4576,0.4015,1530.46,9.32,111.95,0.26,678.18,560.42
default,50,10,colbert,0.6567,0.506,0.462,1530.46,9.32,111.95,0.26,678.18,560.42
default,50,10,cross_encoder,0.6557,0.5641,0.5372,1530.46,9.32,111.95,0.26,678.18,560.42
default,50,20,dense,0.6096,0.4235,0.3702,1530.46,9.32,111.95,0.26,678.18,560.42
default,50,20,sparse,0.6086,0.4197,0.3666,1530.46,9.32,111.95,0.26,678.18,560.42
default,50,20,rrf,0.6507,0.4565,0.4004,1530.46,9.32,111.95,0.26,678.18,560.42
default,50,20,colbert,0.6567,0.506,0.462,1530.46,9.32,111.95,0.26,678.18,560.42
default,50,20,cross_encoder,0.6557,0.5641,0.5372,1530.46,9.32,111.95,0.26,678.18,560.42
default,50,60,dense,0.6096,0.4235,0.3702,1530.46,9.32,111.95,0.26,678.18,560.42
default,50,60,sparse,0.6086,0.4197,0.3666,1530.46,9.32,111.95,0.26,678.18,560.42
default,50,60,rrf,0.6507,0.4548,0.3984,1530.46,9.32,111.95,0.26,678.18,560.42
default,50,60,colbert,0.6567,0.506,0.462,1530.46,9.32,111.95,0.26,678.18,560.42
default,50,60,cross_encoder,0.6557,0.5641,0.5372,1530.46,9.32,111.95,0.26,678.18,560.42
default,50,80,dense,0.6096,0.4235,0.3702,1530.46,9.32,111.95,0.26,678.18,560.42
default,50,80,sparse,0.6086,0.4197,0.3666,1530.46,9.32,111.95,0.26,678.18,560.42
default,50,80,rrf,0.6507,0.4544,0.3979,1530.46,9.32,111.95,0.26,678.18,560.42
default,50,80,colbert,0.6567,0.506,0.462,1530.46,9.32,111.95,0.26,678.18,560.42
default,50,80,cross_encoder,0.6557,0.5641,0.5372,1530.46,9.32,111.95,0.26,678.18,560.42
default,50,100,dense,0.6096,0.4235,0.3702,1530.46,9.32,111.95,0.26,678.18,560.42
default,50,100,sparse,0.6086,0.4197,0.3666,1530.46,9.32,111.95,0.26,678.18,560.42
